#   cell volume        energy of cell other than phonon
    43.0804791127649    -17.2788599300000
    43.9779889420447    -17.3222749000000
    44.8754989139109    -17.3433656900000
    45.7730090104272    -17.3447976000000
    46.6705189089890    -17.3284360400000
    47.5680287743940    -17.2967389600000
    48.4655386546724    -17.2508195400000
    49.3630487614241    -17.1926333700000
    50.2605586587267    -17.1235681600000
    51.1580685636184    -17.0446799700000
    52.0555787437377    -16.9575215500000
